track|artist|album|year
The Nearness Of You|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Biscuit Mix|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Yesterdays|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Afterwards|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
If I Should Lose You|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Blues For Bobby|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
My Melancholy Baby|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
All God's Children Got Rhythm|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Sonnyside|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Bud's Blues|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Sunset|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Fine And Dandy (Take 1)|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Fine And Dandy (Take 2)|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Strike Up The Band|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
I Want To Be Happy|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Taking A Chance On Love|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Afternoon In Paris|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Elora|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Teapot|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Blue Mode (Take 1)|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Blue Mode (Take 2)|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
My Funny Valentine|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
Sonny's Bunny|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
Come Rain Or Come Shine|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
Love Walked In|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
If You Could See Me Now|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
Quince|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
Star Dust|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
Lover|Sonny Stitt|Sonny Stitt Plays Arrangements From The Pen Of Quincy Jones|1956
Opus De Bop|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Running Water|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Don't Worry 'Bout Me|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
And The Angels Swing|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Fool's Fancy|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Bebop In Pastel|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Ray's Idea|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Bombay|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Eb-Pob|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Goin' To Minton's|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Fat Girl|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Ice Freezes Red|Stan Getz, Sonny Stitt, Fats Navarro, Bud Powell, Hank Jones, Max Roach|Opus De Bop|1957
Stitt's It|Sonny Stitt|Kaleidoscope|1957
Cool Mambo|Sonny Stitt|Kaleidoscope|1957
Blue Mambo|Sonny Stitt|Kaleidoscope|1957
Sonny Sounds|Sonny Stitt|Kaleidoscope|1957
Ain't Misbehaving|Sonny Stitt|Kaleidoscope|1957
Later|Sonny Stitt|Kaleidoscope|1957
P.S. I Love You|Sonny Stitt|Kaleidoscope|1957
This Can't Be Love|Sonny Stitt|Kaleidoscope|1957
Imagination|Sonny Stitt|Kaleidoscope|1957
Cherokee|Sonny Stitt|Kaleidoscope|1957
Can't We Be Friends|Sonny Stitt|Kaleidoscope|1957
Liza|Sonny Stitt|Kaleidoscope|1957
Because Of You|Sonny Stitt|37 Minutes And 48 Seconds|1957
Blue Moon|Sonny Stitt|37 Minutes And 48 Seconds|1957
Windy Ride|Sonny Stitt|37 Minutes And 48 Seconds|1957
But Not For Me|Sonny Stitt|37 Minutes And 48 Seconds|1957
What Is This Thing Called Love|Sonny Stitt|37 Minutes And 48 Seconds|1957
Harlem Nocturne|Sonny Stitt|37 Minutes And 48 Seconds|1957
Sweet Georgia Brown|Sonny Stitt|37 Minutes And 48 Seconds|1957
Blues For Yard|Sonny Stitt|37 Minutes And 48 Seconds|1957
Scrapple From The Apple|Sonny Stitt|37 Minutes And 48 Seconds|1957
Wallington's Godchild|Kai Winding, Sonny Stitt|Early Modern|1957
Bop City|Kai Winding, Sonny Stitt|Early Modern|1957
Sleepy Bop|Kai Winding, Sonny Stitt|Early Modern|1957
Crossing The Channel|Kai Winding, Sonny Stitt|Early Modern|1957
Honey|Kai Winding, Sonny Stitt|Early Modern|1957
Someone To Watch Over Me|Kai Winding, Sonny Stitt|Early Modern|1957
Harem Buffet|Kai Winding, Sonny Stitt|Early Modern|1957
Cheek To Cheek|Kai Winding, Sonny Stitt|Early Modern|1957
Sancho Panza|Kai Winding, Sonny Stitt|Early Modern|1957
Hooke's Tours|Kai Winding, Sonny Stitt|Early Modern|1957
Loose Walk|Kai Winding, Sonny Stitt|Early Modern|1957
Pink Satin|Kai Winding, Sonny Stitt|Early Modern|1957
Be-Bop|Stan Getz / Dizzy Gillespie / Sonny Stitt|For Musicians Only|1957
We (My Honey And Me)|Stan Getz / Dizzy Gillespie / Sonny Stitt|For Musicians Only|1957
Dark Eyes|Stan Getz / Dizzy Gillespie / Sonny Stitt|For Musicians Only|1957
Lover Come Back To Me|Stan Getz / Dizzy Gillespie / Sonny Stitt|For Musicians Only|1957
The Best Things In Life Are Free|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
Engos, The Bloos|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
It Might As Well Be Spring|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
Cherokee|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
I Didn't Know What Time It Was|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
Body & Soul|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
