track|artist|album|year
My Funny Valentine|Sonny Stitt With Hank Jones Trio|Good Life|1980
As Time Goes By|Sonny Stitt With Hank Jones Trio|Good Life|1980
Ain't Misbehavin'|Sonny Stitt With Hank Jones Trio|Good Life|1980
Good Life|Sonny Stitt With Hank Jones Trio|Good Life|1980
Body And Soul|Sonny Stitt With Hank Jones Trio|Good Life|1980
Loose Walk|Sonny Stitt, Milt Jackson|Loose Walk|1980
Parking Lot Blues|Sonny Stitt, Milt Jackson|Loose Walk|1980
SKJ|Sonny Stitt, Milt Jackson|Loose Walk|1980
Scrapple From The Apple|Sonny Stitt, Milt Jackson|Loose Walk|1980
Lover Man|Sonny Stitt, Milt Jackson|Loose Walk|1980
Star Eyes|Sonny Stitt, Milt Jackson|Loose Walk|1980
Canadian Sunset|Sonny Stitt|Sonny's Back|1980
Sonny's Bounce|Sonny Stitt|Sonny's Back|1980
Soon|Sonny Stitt|Sonny's Back|1980
Dodge City|Sonny Stitt|Sonny's Back|1980
It Might As Well Be Spring|Sonny Stitt|Sonny's Back|1980
Constellation|Sonny Stitt|Sonny's Back|1980
Streets Of Dreams|Sonny Stitt|Sonny's Back|1980
(I'm Afraid The) Masquerade Is Over|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
Duty Free|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
I Can't Get Started (With You)|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
Back To My Own Home Town|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
My Little Suede Shoes|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
There Will Never Be Another You|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
Simone's Blues|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
Streamline Stanley|Sonny Stitt, Gerald Price (2), Don Mosley (2), Bobby Durham|Back To My Own Home Town|1981
Western Style|Sonny Stitt|In Style|1982
I'll Walk Alone|Sonny Stitt|In Style|1982
Just You, Just Me|Sonny Stitt|In Style|1982
The Good Life|Sonny Stitt|In Style|1982
Is You Is Or Is You Ain't My Baby?|Sonny Stitt|In Style|1982
Killing Me Softly With His Song|Sonny Stitt|In Style|1982
Eastern Style|Sonny Stitt|In Style|1982
Yesterdays|Sonny Stitt|In Style|1982
Oh Lady Be Good|Sonny Stitt, Harry Sweets Edison* & Eddie Lockjaw Davis*|Sonny, Sweets & Jaws|1982
What's New|Sonny Stitt, Harry Sweets Edison* & Eddie Lockjaw Davis*|Sonny, Sweets & Jaws|1982
There Is No Greater Love|Sonny Stitt, Harry Sweets Edison* & Eddie Lockjaw Davis*|Sonny, Sweets & Jaws|1982
The Chef|Sonny Stitt, Harry Sweets Edison* & Eddie Lockjaw Davis*|Sonny, Sweets & Jaws|1982
I Can't Get Started Without You|Sonny Stitt, Harry Sweets Edison* & Eddie Lockjaw Davis*|Sonny, Sweets & Jaws|1982
Lester Leaps In|Sonny Stitt, Harry Sweets Edison* & Eddie Lockjaw Davis*|Sonny, Sweets & Jaws|1982
Laura|Sonny Stitt & Richie Cole Featuring Jack Wilson|Legacy|1982
Serenada Espana|Sonny Stitt & Richie Cole Featuring Jack Wilson|Legacy|1982
I Hear A Rhapsody|Sonny Stitt & Richie Cole Featuring Jack Wilson|Legacy|1982
Lovers Concerto|Sonny Stitt & Richie Cole Featuring Jack Wilson|Legacy|1982
Cherokee|Sonny Stitt & Richie Cole Featuring Jack Wilson|Legacy|1982
Sonny's Blues|Sonny Stitt & Richie Cole Featuring Jack Wilson|Legacy|1982
The Night Has A Thousand Eyes|Sonny Stitt & Richie Cole Featuring Jack Wilson|Legacy|1982
Autumn In New York|Sonny Stitt|Smooth Sonny|1982
Another One For Sonny|Sonny Stitt|Smooth Sonny|1982
Love Is Bustin' Out All Over|Sonny Stitt|Smooth Sonny|1982
Star Eyes|Sonny Stitt|Smooth Sonny|1982
The Shadow Of Your Smile|Sonny Stitt|Smooth Sonny|1982
Sonny's Blues|Sonny Stitt|Sonny's Last Recordings|1983
Old Folks|Sonny Stitt|Sonny's Last Recordings|1983
Lax|Sonny Stitt|Sonny's Last Recordings|1983
Yesterdays|Sonny Stitt|Sonny's Last Recordings|1983
What´s New|Sonny Stitt|Sonny's Last Recordings|1983
Four|Sonny Stitt|Sonny's Last Recordings|1983
Steamroller|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
I'll Be Seeing You|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
Out Of Nowhere|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
Sweet Georgia Brown|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
Keepin' It|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
This Is Always|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
Makin' It|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
Angel Eyes|Sonny Stitt|The Last Stitt Sessions, Vol. 1|1982
McKie's|Sonny Stitt|At D.J. Lounge|1983
It All Depends On You|Sonny Stitt|At D.J. Lounge|1983
Blue Moon|Sonny Stitt|At D.J. Lounge|1983
Jay Tee|Sonny Stitt|At D.J. Lounge|1983
I'm In The Mood For Love|Sonny Stitt|At D.J. Lounge|1983
Free Chicken|Sonny Stitt|At D.J. Lounge|1983
At Last|Sonny Stitt|The Last Stitt Sessions, Vol. 2|1984
Bouncin'  With Bud|Sonny Stitt|The Last Stitt Sessions, Vol. 2|1984
As Time Goes By|Sonny Stitt|The Last Stitt Sessions, Vol. 2|1984
Swifty|Sonny Stitt|The Last Stitt Sessions, Vol. 2|1984
Sugar|Sonny Stitt|The Last Stitt Sessions, Vol. 2|1984
The Jumpin' Blues|Sonny Stitt|The Last Stitt Sessions, Vol. 2|1984
Bye Bye Blackbird|Sonny Stitt|The Last Stitt Sessions, Vol. 2|1984
They Say It's Wonderful (Take One)|Sonny Stitt|Symphony Hall Swing|1986
They Say It's Wonderful (Take Two)|Sonny Stitt|Symphony Hall Swing|1986
Why Do I Love You (Take Two)|Sonny Stitt|Symphony Hall Swing|1986
Why Do I Love You (Take Three)|Sonny Stitt|Symphony Hall Swing|1986
Symphony Hall Swing (Take One)|Sonny Stitt|Symphony Hall Swing|1986
Symphony Hall Swing (Take Two)|Sonny Stitt|Symphony Hall Swing|1986
Sonny's Bunny (Take One)|Sonny Stitt|Symphony Hall Swing|1986
Sonny's Bunny (Take Two)|Sonny Stitt|Symphony Hall Swing|1986
Sweet Georgia Brown (Alt. Take)|Sonny Stitt|Symphony Hall Swing|1986
Blues For Yard (Alt. Take One)|Sonny Stitt|Symphony Hall Swing|1986
Blues For Yard (Alt. Take Two)|Sonny Stitt|Symphony Hall Swing|1986
Harlem Nocturne (Alt. Take)|Sonny Stitt|Symphony Hall Swing|1986
On Green Dolphin Street|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
'Round Midnight|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
The Theme|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
All Blues|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
The Theme|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
All Of You|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
Walkin'|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
Autumn Leaves|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
The Theme|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
If I Was A Bell|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
No Blues|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
The Theme|Miles Davis And Sonny Stitt|Live In Stockholm 1960|1986
Blue 'N' Boogie|Dizzy Gillespie, Sonny Stitt, Kai Winding, Thelonious Monk, Al McKibbon, Art Blakey|Giants Of Jazz In Berlin '71|1988
'Round Midnight|Dizzy Gillespie, Sonny Stitt, Kai Winding, Thelonious Monk, Al McKibbon, Art Blakey|Giants Of Jazz In Berlin '71|1988
Tour De Force|Dizzy Gillespie, Sonny Stitt, Kai Winding, Thelonious Monk, Al McKibbon, Art Blakey|Giants Of Jazz In Berlin '71|1988
Lover Man|Dizzy Gillespie, Sonny Stitt, Kai Winding, Thelonious Monk, Al McKibbon, Art Blakey|Giants Of Jazz In Berlin '71|1988
Tin Tin Deo|Dizzy Gillespie, Sonny Stitt, Kai Winding, Thelonious Monk, Al McKibbon, Art Blakey|Giants Of Jazz In Berlin '71|1988
Everything Happens To Me|Dizzy Gillespie, Sonny Stitt, Kai Winding, Thelonious Monk, Al McKibbon, Art Blakey|Giants Of Jazz In Berlin '71|1988
Night In Tunisia|Dizzy Gillespie, Sonny Stitt, Kai Winding, Thelonious Monk, Al McKibbon, Art Blakey|Giants Of Jazz In Berlin '71|1988
Night Work|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Matter Horns|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Shades Of Blue|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Don't Blame Me|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Love Man (Oh Where Can You Be)|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Hello|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
The Sharp Edge|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Cool|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
The Day After|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Topside|Sonny Stitt Featuring Howard McGhee|Sonny Stitt Featuring Howard McGhee|1988
Stardust|Sonny Stitt|Autumn In New York|1989
Cherokee|Sonny Stitt|Autumn In New York|1989
Autumn In New York|Sonny Stitt|Autumn In New York|1989
The Gypsy|Sonny Stitt|Autumn In New York|1989
Lover Man|Sonny Stitt|Autumn In New York|1989
Matter Horns|Sonny Stitt|Autumn In New York|1989
Hello|Sonny Stitt|Autumn In New York|1989
NIght Work|Sonny Stitt|Autumn In New York|1989
Sonny' BluesComposed By – Sonny Stitt|Sonny Stitt|Bubba's Session|1989
Old FolksComposed By – W Robinson|Sonny Stitt|Bubba's Session|1989
LaxComposed By – Harry Edison|Sonny Stitt|Bubba's Session|1989
YesterdaysComposed By – Jerome KernLyrics By – Otto Harbach|Sonny Stitt|Bubba's Session|1989
What's NewComposed By – B HaggertLyrics By – Johnny Burke|Sonny Stitt|Bubba's Session|1989
FourComposed By – E Vincent|Sonny Stitt|Bubba's Session|1989
Laura|Sonny Stitt, Richie Cole|Battle Of The Saxes|1993
Serenada Espana|Sonny Stitt, Richie Cole|Battle Of The Saxes|1993
I Hear A Rhapsody|Sonny Stitt, Richie Cole|Battle Of The Saxes|1993
Lovers Concerto|Sonny Stitt, Richie Cole|Battle Of The Saxes|1993
Cherokee|Sonny Stitt, Richie Cole|Battle Of The Saxes|1993
Sonny's Blues|Sonny Stitt, Richie Cole|Battle Of The Saxes|1993
The Night Has A Thousand Eyes|Sonny Stitt, Richie Cole|Battle Of The Saxes|1993
All Of YouComposed By – C. Porter*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
So WhatComposed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
On Green Dolphin StreetComposed By – B. Kaper*, N. Washington*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Walkin'Composed By – R. Carpenter*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Bye Bye BlackbirdComposed By – M. Dixon*, R. Henderson*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Round About MidnightComposed By – B. Hanighen*, C. Williams*, T. Monk*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
OleoComposed By – S. Rollins*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
The ThemeComposed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Walkin'Composed By – R. Carpenter*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Autumn LeavesComposed By – J. Prévert*, J. Kosma*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
FourComposed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
UnidentifiedComposed By – S. Stitt*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Round About MidnightComposed By – B. Hanighen*, C. Williams*, T. Monk*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
No BluesComposed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
The ThemeComposed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Walkin'Composed By – R. Carpenter*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
If I Were A BellComposed By – F. Loesser*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Fran Dance ( Put Your Little Foot Right Out )Composed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Two Bass HitComposed By – D. Gillespie*, J. Lewis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
All Of YouComposed By – C. Porter*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
So What Composed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
The ThemeComposed By – M. Davis*|Miles Davis Featuring John Coltrane, Sonny Stitt|En Concert Avec Europe 1|1994
Duces's Wild|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Autumn Leaves|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Angel Eyes|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Bye Bye Blackbird|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Polka Dots And Moonbeams|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
My Funny Valentine|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
As Time Goes By|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Ain't Misbehavin'|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Good Life|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Body And Soul|Sonny Stitt, Hank Jones Trio|Autumn Leaves|1994
Ernest's Blues|Sonny Stitt|Sonny's Blues|1995
Home Sweet Home|Sonny Stitt|Sonny's Blues|1995
M-O-T-H-E-R|Sonny Stitt|Sonny's Blues|1995
My Mother's Eyes|Sonny Stitt|Sonny's Blues|1995
Sonny's Theme Song|Sonny Stitt|Sonny's Blues|1995
Blues With Dick and Harry|Sonny Stitt|Sonny's Blues|1995
It Could Happen To You|Sonny Stitt|Sonny's Blues|1995
Oh, Lady Be Good|Sonny Stitt|Sonny's Blues|1995
Interview With Sonny Stitt|Sonny Stitt|Sonny's Blues|1995
S.O.S. (Columbus Avenue Rhythm)|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Rockin' At The Hi-Hat|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Indiana (2nd version)|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
They Can't Take That Away From Me|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Lover|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Flying Home (2nd version)|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Mass Ave Swing|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
They Say It's Wonderful|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
One O'Clock Jump|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Jeepers Creepers|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Baritone Blues|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
How High The Moon|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Body And Soul|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
If I Had You|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Jumpin' With Symphony Sid|Sonny Stitt|Live at the Hi-Hat, Vol. 2 |1996
Constellation|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
(I Don't Stand) A Ghost Of A Chance With You|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Webb City|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
By Accident|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Ray's Idea|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Casbah|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
It's Magic|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Topsy|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Tune Up|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
I Can't Get Started|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Idaho|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Just Friends|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Blues For Prez And Bird|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Groovin' High|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
I Got Rhythm|Sonny Stitt|Endgame Brilliance: Tune-Up! - Constellation|1997
Sonny Speaks|Ronnie Scott & Sonny Stitt|The Night Has A Thousand Eyes|1997
The Night Has A Thousand EyesWritten-By – Weissman*, Wayne*, Garrett*|Ronnie Scott & Sonny Stitt|The Night Has A Thousand Eyes|1997
A Sonny Day For RonnieWritten-By – Scott*, Stitt*|Ronnie Scott & Sonny Stitt|The Night Has A Thousand Eyes|1997
Bye Bye BlackbirdWritten-By – Dixon*, Henderson*|Ronnie Scott & Sonny Stitt|The Night Has A Thousand Eyes|1997
Dig Dr. Woody|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Star Eyes|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Everything Happens To Me|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
The Night Has A Thousand Eyes|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Solo Excerpt|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Lover Man|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Laura|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Wee|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Outro|Sonny Stitt|Just In Case You Forgot How Bad He Really Was|1998
Waltz For Diane|Sonny Stitt|Waltz For Diane|1999
Streamlined Stanley|Sonny Stitt|Waltz For Diane|1999
Yes, Jesus Loves Me|Sonny Stitt|Waltz For Diane|1999
Lester Leaps In|Sonny Stitt|Waltz For Diane|1999
Just Friends|Sonny Stitt|Waltz For Diane|1999
The Way You Look Tonight|Sonny Stitt|Waltz For Diane|1999
Deuces Wild Written-By – Stitt*|Sonny Stitt|Just The Way It Was (Live From The Left Bank)|2000
Samba De Orpheus Written-By – Salvet*, Maria*, Bonfa*|Sonny Stitt|Just The Way It Was (Live From The Left Bank)|2000
Who Can I Turn To (When Nobody Needs Me)Written-By – Newley*, Bricusse*|Sonny Stitt|Just The Way It Was (Live From The Left Bank)|2000
Cry Me A RiverWritten-By – Hamilton*|Sonny Stitt|Just The Way It Was (Live From The Left Bank)|2000
John Brown's BodyArranged By – Sonny StittWritten-By – Traditional|Sonny Stitt|Just The Way It Was (Live From The Left Bank)|2000
The Shadow Of Your Smile Written-By – Mandel*, Webster*|Sonny Stitt|Just The Way It Was (Live From The Left Bank)|2000
Blues Up And DownWritten-By – Ammons*, Stitt*|Sonny Stitt|Just The Way It Was (Live From The Left Bank)|2000
Blue 'N' Boogie|Gene Ammons & Sonny Stitt|God Bless Jug And Sonny|2001
Stringin' The Jug|Gene Ammons & Sonny Stitt|God Bless Jug And Sonny|2001
God Bless The Child|Gene Ammons & Sonny Stitt|God Bless Jug And Sonny|2001
Autumn In New York|Gene Ammons & Sonny Stitt|God Bless Jug And Sonny|2001
Ugetsu|Gene Ammons & Sonny Stitt|God Bless Jug And Sonny|2001
Bye Bye Blackbird|Gene Ammons & Sonny Stitt|God Bless Jug And Sonny|2001
Just In Time|Gene Ammons & Sonny Stitt|Left Bank Encores|2002
They Can't Take That Away From Me|Gene Ammons & Sonny Stitt|Left Bank Encores|2002
Theme From Love Story|Gene Ammons & Sonny Stitt|Left Bank Encores|2002
Exactly Like You|Gene Ammons & Sonny Stitt|Left Bank Encores|2002
Don't Go To Strangers|Gene Ammons & Sonny Stitt|Left Bank Encores|2002
Autumn Leaves|Gene Ammons & Sonny Stitt|Left Bank Encores|2002
Blues Up And Down|Gene Ammons & Sonny Stitt|Left Bank Encores|2002
Walkin'|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Autumn Leaves|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Four|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Unidentified|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Round About Midnight|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
No Blues|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
The Theme|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Walkin'|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
If I Were A Bell|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Fran Dance (Put Your Little Foot Right Out)|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Two Bass Hit|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
All Of You|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
So What|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
The Theme|Miles Davis And Sonny Stitt|Olympia - Oct. 11th, 1960|2002
Jeep's Blues|Sonny Stitt|The Best Of Sonny Stitt|2002
The Way You Look Tonight|Sonny Stitt|The Best Of Sonny Stitt|2002
Forecast Sonny And Red|Sonny Stitt|The Best Of Sonny Stitt|2002
You Don't Know What Love Is|Sonny Stitt|The Best Of Sonny Stitt|2002
Cottontail|Sonny Stitt|The Best Of Sonny Stitt|2002
In A Sentimental Mood (Instrumental Version)|Sonny Stitt|The Best Of Sonny Stitt|2002
In A Mellow Tone|Sonny Stitt|The Best Of Sonny Stitt|2002
I'm Getting Sentimental Over You|Sonny Stitt|The Best Of Sonny Stitt|2002
Rockin' At The Hi-Hat|Sonny Stitt|Rockin' At The Hi-Hat|2002
Lover|Sonny Stitt|Rockin' At The Hi-Hat|2002
They Can't Take That Away From Me|Sonny Stitt|Rockin' At The Hi-Hat|2002
S.O.S. (Columbus Avenue Rhythm)|Sonny Stitt|Rockin' At The Hi-Hat|2002
Mass Ave Swing|Sonny Stitt|Rockin' At The Hi-Hat|2002
Indiana|Sonny Stitt|Rockin' At The Hi-Hat|2002
They Say It's Wonderful|Sonny Stitt|Rockin' At The Hi-Hat|2002
Flyin' Home|Sonny Stitt|Rockin' At The Hi-Hat|2002
Baritone Blues|Sonny Stitt|Rockin' At The Hi-Hat|2002
One O'Clock Jump|Sonny Stitt|Rockin' At The Hi-Hat|2002
Body And Soul|Sonny Stitt|Rockin' At The Hi-Hat|2002
Jeeper's Creepers|Sonny Stitt|Rockin' At The Hi-Hat|2002
If I Had You|Sonny Stitt|Rockin' At The Hi-Hat|2002
Jumpin' With Symphony Sid|Sonny Stitt|Rockin' At The Hi-Hat|2002
How High The Moon|Sonny Stitt|Rockin' At The Hi-Hat|2002
Four|Sonny Stitt|It's Magic|2005
On Green Dolphin Street|Sonny Stitt|It's Magic|2005
Parker's Mood|Sonny Stitt|It's Magic|2005
How High The Moon|Sonny Stitt|It's Magic|2005
Shake Your Head|Sonny Stitt|It's Magic|2005
It's Magic|Sonny Stitt|It's Magic|2005
Getting Sentimental Over You|Sonny Stitt|It's Magic|2005
Just Friends|Sonny Stitt|It's Magic|2005
Body And Soul|Sonny Stitt|It's Magic|2005
They Can't Take That Away From Me|Sonny Stitt|It's Magic|2005
Barkan The Blues|Sonny Stitt|Work Done|2005
Indiana|Sonny Stitt|Work Done|2005
The Shadow Of Your Smile|Sonny Stitt|Work Done|2005
Lover Man|Sonny Stitt|Work Done|2005
Constellation|Sonny Stitt|Work Done|2005
You Are The Sunshine Of My Life|Sonny Stitt|Work Done|2005
Stardust|Sonny Stitt|Work Done|2005
On A Clear Day|Sonny Stitt|Work Done|2005
Loose Walk|Sonny Stitt|Work Done|2005
Sonny Introduces The Band|Sonny Stitt|Work Done|2005
FourWritten-By – E. Vinson*, M. Davis*|Sonny Stitt|What's New|2007
I Can't Get Started Written-By – I. Gershwin*, V. Duke*|Sonny Stitt|What's New|2007
LaxWritten-By – E. Davis*|Sonny Stitt|What's New|2007
Lester Leaps InWritten-By – L. Young*|Sonny Stitt|What's New|2007
Oh, Lady Be GoodWritten-By – Gershwin*|Sonny Stitt|What's New|2007
Old FolksWritten-By – D. Hill*, W. Robinson*|Sonny Stitt|What's New|2007
Sonny's BluesWritten-By – S. Stitt*|Sonny Stitt|What's New|2007
The ChefWritten-By – E. Davis*|Sonny Stitt|What's New|2007
There Is No Greater LoveWritten-By – I. Jones*, M. Symes*|Sonny Stitt|What's New|2007
What's NewWritten-By – B. Haggart*, J. Burke*|Sonny Stitt|What's New|2007
YesterdaysWritten-By – J. Kern*, O. Harbach*|Sonny Stitt|What's New|2007
Groovin' HighWritten-By – Dizzy Gillespie|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
The Nearness Of YouWritten-By – Carmichael*, Washington*|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
'Round About MidnightWritten-By – Hanighen*, Williams*, Monk*|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
We'll Be Together AgainWritten-By – Fischer*, Laine*|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
Shaw 'NuffWritten-By – Charlie Parker, Dizzy Gillespie|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
BebopWritten-By – Dizzy Gillespie|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
Dark EyesWritten-By – Traditional|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
WeeWritten-By – Denzil Best|Dizzy Gillespie, Stan Getz, Sonny Stitt|For Musicians Only - The Complete Sessions: Live & Studio|2019
